muni_time,Coef,Municipality,YearParam,PriceLevel,PriceIndex
muni_time_Adachi Ward_2005,0.2578756207617863,Adachi Ward,2005-01-01,1.2941778397594086,1.0
muni_time_Adachi Ward_2006,0.010788884795361678,Adachi Ward,2006-01-01,1.0108472946831144,0.7810729434766353
muni_time_Adachi Ward_2007,-0.006778523194715119,Adachi Ward,2007-01-01,0.993244399171129,0.7674713386807612
muni_time_Adachi Ward_2008,0.04987315158871929,Adachi Ward,2008-01-01,1.0511377527650148,0.812205031234675
muni_time_Adachi Ward_2009,0.06667094165544588,Adachi Ward,2009-01-01,1.0689436754596968,0.8259635133749598
muni_time_Adachi Ward_2010,0.049568065427203156,Adachi Ward,2010-01-01,1.0508171140964964,0.8119572765145217
muni_time_Adachi Ward_2011,0.032130800613963284,Adachi Ward,2011-01-01,1.0326525680616934,0.7979216892275535
muni_time_Adachi Ward_2012,-0.005509868557507954,Adachi Ward,2012-01-01,0.9945052829279157,0.7684456126314118
muni_time_Adachi Ward_2013,-0.00041827424693825777,Adachi Ward,2013-01-01,0.9995818132175395,0.772368203587356
muni_time_Adachi Ward_2014,-0.059605159500328575,Adachi Ward,2014-01-01,0.9421364537830087,0.7279806722375609
muni_time_Adachi Ward_2015,-0.08246777054263789,Adachi Ward,2015-01-01,0.9208411155880255,0.7115259489833426
muni_time_Adachi Ward_2016,-0.0435238880017845,Adachi Ward,2016-01-01,0.9574096832135771,0.739782164243797
muni_time_Adachi Ward_2017,-0.043646092637338985,Adachi Ward,2017-01-01,0.9572926904608376,0.7396917649577442
muni_time_Adachi Ward_2018,-0.041466465655049994,Adachi Ward,2018-01-01,0.9593815070324365,0.7413057754186151
muni_time_Adachi Ward_2019,-0.020968154792658483,Adachi Ward,2019-01-01,0.9792501484969457,0.756658102474534
muni_time_Adachi Ward_2020,-0.008261353635996671,Adachi Ward,2020-01-01,0.9917726775668704,0.766334152152724
muni_time_Adachi Ward_2021,0.022464854505765526,Adachi Ward,2021-01-01,1.0227190895649385,0.7902461764876649
muni_time_Adachi Ward_2022,0.026808181388161528,Adachi Ward,2022-01-01,1.0271707533971879,0.7936859385477825
muni_time_Adachi Ward_2023,-0.010912624714845593,Adachi Ward,2023-01-01,0.9891467019748325,0.7643050835723765
muni_time_Adachi Ward_2024,-0.05887411074211255,Adachi Ward,2024-01-01,0.9428254532830459,0.728513056179605
muni_time_Adachi Ward_2025,-0.10436245617241333,Adachi Ward,2025-01-01,0.9008987019412688,0.6961166188015926
"muni_time_Aoba Ward, Sendai City_2005",-2.5009155849057683,"Aoba Ward, Sendai City",2005-01-01,0.08200987723342218,1.0
"muni_time_Aoba Ward, Sendai City_2006",-0.11800827252907242,"Aoba Ward, Sendai City",2006-01-01,0.8886887008810943,10.836361800074974
"muni_time_Aoba Ward, Sendai City_2007",-0.09909514750495485,"Aoba Ward, Sendai City",2007-01-01,0.9056565329644849,11.04326165965037
"muni_time_Aoba Ward, Sendai City_2008",-0.024963323077745347,"Aoba Ward, Sendai City",2008-01-01,0.9753456840501501,11.893026998126748
"muni_time_Aoba Ward, Sendai City_2009",0.01837327253083687,"Aoba Ward, Sendai City",2009-01-01,1.0185430996011582,12.419761301460195
"muni_time_Aoba Ward, Sendai City_2010",-0.09292628057060624,"Aoba Ward, Sendai City",2010-01-01,0.9112606754370758,11.11159662931067
