Level,Model,Fraction,TrainRows,ValRows,TestRows,TrainTimeSeconds,InferTimeSeconds,Test_MAE,Test_RMSE,Test_R2
Mesh,LinearRegression,0.25,6705,4188,6770,0.009635400027036667,0.004387799999676645,97902.70802091721,210559.84986087284,0.858316078439162
Mesh,RandomForest,0.25,6705,4188,6770,4.625877100042999,0.09210140001960099,45517.84764261715,168423.6287289778,0.9093483977582362
Mesh,LightGBM,0.25,6705,4188,6770,0.3348293000017293,0.05949099996360019,45942.06283241184,167109.74159171563,0.910757242789135
Mesh,LinearRegression,0.5,13409,4188,6770,0.006898099964018911,0.0023483000113628805,85203.48401152129,203365.9199586388,0.8678321590264464
Mesh,RandomForest,0.5,13409,4188,6770,9.251042399962898,0.07684310001786798,33970.72751025408,152440.91452470838,0.9257369921397991
Mesh,LightGBM,0.5,13409,4188,6770,0.36885199998505414,0.04696489998605102,36607.485154933645,134185.44231992293,0.9424586232756018
Mesh,LinearRegression,0.75,20114,4188,6770,0.008017299987841398,0.0027405000291764736,87920.82674262852,199769.04069599824,0.8724660495252576
Mesh,RandomForest,0.75,20114,4188,6770,14.763540699961595,0.09375950001413003,25334.88121113374,102213.77262734578,0.9666121633222041
Mesh,LightGBM,0.75,20114,4188,6770,0.4807537999586202,0.050095299957320094,27901.935595656287,124372.17336667694,0.9505671225151581
Mesh,LinearRegression,1.0,26818,4188,6770,0.012865599943324924,0.0025420000310987234,83895.80282178038,197137.44473220658,0.8758039766542322
Mesh,RandomForest,1.0,26818,4188,6770,20.52066159999231,0.08154230000218377,24303.237649564682,126879.33048796158,0.9485540488574501
Mesh,LightGBM,1.0,26818,4188,6770,13.403752200014424,0.04540509998332709,27702.106193784093,126969.28720179133,0.948481073231442
