Level,Model,Fraction,TrainRows,ValRows,TestRows,TrainTimeSeconds,InferTimeSeconds,Test_MAE,Test_RMSE,Test_R2
Ward,LinearRegression,0.25,377,224,364,0.0022826000349596143,0.0015731999883428216,104324.1750869374,109368.62605381217,0.9368382524653049
Ward,RandomForest,0.25,377,224,364,0.4675829000188969,0.05211570003302768,88364.87125214364,170693.73364722496,0.8461477752229829
Ward,LightGBM,0.25,377,224,364,0.13314710004488006,0.004498400026932359,106526.75918436775,192860.6051728079,0.8035935820167128
Ward,LinearRegression,0.5,754,224,364,0.00299880001693964,0.0020514000207185745,24371.23568887797,36727.77437905002,0.9928770835779773
Ward,RandomForest,0.5,754,224,364,0.7223460999666713,0.06601040001260117,87943.97602020146,171270.1298654866,0.8451069688025161
Ward,LightGBM,0.5,754,224,364,0.2738815000047907,0.0042010999750345945,111881.72381075034,206757.25342787808,0.7742695572226934
Ward,LinearRegression,0.75,1131,224,364,0.003087799996137619,0.0018056000117212534,19297.534083187187,30073.808049437106,0.995224207252727
Ward,RandomForest,0.75,1131,224,364,0.8509267999907024,0.06513050000648946,77972.03235959685,167893.54769905732,0.8511541820377204
Ward,LightGBM,0.75,1131,224,364,0.2996951999957673,0.005476900027133524,76599.96668861566,169086.5582030801,0.8490313425637213
Ward,LinearRegression,1.0,1507,224,364,0.0027006000163964927,0.0014549000188708305,18594.707646537223,29651.11904502503,0.9953575118734395
Ward,RandomForest,1.0,1507,224,364,1.0934456000104547,0.1209672000259161,44763.050221420366,113297.97556861877,0.9322182270295386
Ward,LightGBM,1.0,1507,224,364,1.2249397999839857,0.005886900005862117,48038.70338773811,116652.76617759658,0.9281447163597119
