Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,54289.60878477287,34576.9409314588,53297.33646959138,0.45850010259420027
mesh_median_ppsqm_growth_qoq,25125.24914709211,21500.617713068386,19211.424584020264,0.21219400120042273
mesh_median_ppsqm_lag1,14179.050729157165,10435.302640531208,12426.04934057146,0.1197484446752977
mesh_median_ppsqm_lag4,10282.139199733962,8789.498064606763,7235.852184863328,0.08683727850490888
mesh_median_ppsqm_growth_yoy,9937.572590181891,7971.518153855556,8520.680949320064,0.08392725890140658
mesh_median_ppsqm_std4q,2217.544664833223,1548.4514913386192,2524.903236020138,0.018728159570352815
mesh_avg_age,1106.7268925119042,487.1722941829714,1606.1484441978296,0.009346805127518133
MeshHedonicIndex,358.0395045391832,155.4261128585735,524.3019239527624,0.00302380424612741
TimeTrend,308.83238329092575,257.82928275995306,264.2153134449963,0.002608228030978493
mesh_transaction_count,293.7423881672754,183.28232708167957,360.59573902241635,0.002480786252207005
mesh_avg_area,216.24439491108538,126.67475369279799,244.15811634054694,0.001826280930577684
WardHedonicIndex,72.51765830719638,33.47067216067293,96.36244992179084,0.0006124441586152389
Ward_encoded,19.703607766810016,12.621133494331715,22.48074799585675,0.00016640580738706956
WardHedonicIndex_missing,0.0,0.0,0.0,0.0
MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
