Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,82860.136923668,69554.06456494503,76537.29765725047,0.6650647203546729
mesh_median_ppsqm_lag1,10857.569941709455,7247.698516777932,10905.930659011241,0.08714669061754485
mesh_avg_age,9916.557961999026,7434.265404467071,7189.175109409554,0.0795937961574133
mesh_median_ppsqm_lag4,5967.701620455076,3892.9782381606647,5718.287317524609,0.0478988806526388
TimeTrend,4501.717744065061,5276.238177773241,1803.279643092117,0.03613237636006268
mesh_median_ppsqm_growth_yoy,2945.7617640966955,2555.5930995828785,1932.557650417301,0.023643724191226345
mesh_median_ppsqm_growth_qoq,2588.9364427555975,2104.6765332217187,2169.166775538342,0.020779718152088383
mesh_avg_area,2210.9797574765935,2023.9575294724696,1679.6981681463951,0.017746104323609898
mesh_median_ppsqm_std4q,1679.2846416419954,1207.0070584431319,1539.3988844604696,0.013478531559975263
mesh_transaction_count,721.1496812922966,604.0883904096108,612.2036770710233,0.0057882020103870654
Ward_encoded,159.24112916963404,189.83207169297862,88.6416811992329,0.0012781255374671523
MeshHedonicIndex,116.77412769993407,86.16567382944595,98.11571769019508,0.0009372703867839517
WardHedonicIndex,63.772386669936154,20.08961304761897,83.5709532368988,0.0005118596961294238
MeshHedonicIndex_missing,1.5916157281026243e-13,0.0,4.72040016848648e-13,1.2774869900321336e-18
WardHedonicIndex_missing,1.5631940186722204e-13,0.0,4.681824264011656e-13,1.2546747223529884e-18
