ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,Mesh250m,WardLat,WardLon,MeshLat,MeshLon,Feature,FeatureValue,SHAPValue
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_lag1,120833.33333333331,906.894495188967
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_lag4,141176.4705882353,273.79596686236533
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_growth_qoq,-5.303388156482147,-2779.7998799959055
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_growth_yoy,-18.94890687698908,-1835.3728286821208
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_ma4q,109439.3494172806,-25203.640136915994
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_median_ppsqm_std4q,19355.07276439056,-1875.3099700820255
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_transaction_count,36.0,-3.558527489258283
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_avg_age,21.0,-127.47770551848603
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,mesh_avg_area,216.52777777777777,90.44447793659222
0,RandomForest,MeshSendai,val,114425.07264425071,114839.23503251329,-414.16238826257177,2021-Q3,"Wakabayashi Ward, Sendai City",57403770,38.24957240498102,140.8877170085907,38.31294728158548,140.88409066200256,TimeTrend,62.0,40.548328899488034
