Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,145559.2437441095,116260.81183433191,124864.78150297618,0.4129116911483669
mesh_median_ppsqm_lag1,71132.52623116926,63724.72651463476,57391.833600480175,0.20178348654656483
mesh_median_ppsqm_growth_qoq,62123.290460932825,51146.080026257216,66640.86512103188,0.1762267532044872
mesh_median_ppsqm_lag4,31362.20748497695,22383.691792336493,36917.8008270003,0.08896598936398264
mesh_median_ppsqm_growth_yoy,29407.40167678817,21074.256277641354,53171.88873098555,0.08342074090456597
mesh_median_ppsqm_std4q,3877.697891855028,3331.1443145007242,3384.5810850699145,0.010999966426749948
MeshHedonicIndex,2187.223964427478,1495.9343875001423,2033.3583665680358,0.00620455508589803
mesh_avg_age,1641.4226592947941,1006.6761742940519,2506.318423937689,0.004656266333247495
mesh_avg_area,1619.8168826535687,1323.920990237385,2571.7107857761284,0.004594976664917081
mesh_transaction_count,1549.580751437322,1361.918558937715,1160.135041098436,0.004395736005414873
TimeTrend,1100.9854011978232,841.1268202531089,2049.5221036594908,0.003123193912283936
Ward_encoded,696.459779679929,712.0953659965228,378.71407228682875,0.001975665564393922
WardHedonicIndex,261.2091683666802,180.05688551584063,636.4691132236348,0.0007409788391272071
WardHedonicIndex_missing,0.0,0.0,0.0,0.0
MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
