Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,214604.44795211303,156833.7958473236,184223.56936342057,0.5144025747213563
mesh_median_ppsqm_growth_qoq,95826.74269499628,67878.62275524289,113040.00274965241,0.22969478796854384
mesh_median_ppsqm_growth_yoy,31674.57671242018,21201.818315663648,30349.039042174252,0.07592332763631159
mesh_median_ppsqm_lag4,25466.552785579504,18923.65944621488,21345.62738946768,0.061042818297515344
mesh_median_ppsqm_std4q,16643.375757384358,15046.55453170164,10381.774329506596,0.03989383921606281
mesh_avg_age,13478.076996505319,10544.831596863482,11720.227881942936,0.0323066813174445
TimeTrend,6523.875421672586,7192.647759895433,2078.912598274952,0.01563759906233905
mesh_transaction_count,5028.14429857172,3484.7340551515936,4866.402454822378,0.01205236143955857
WardHedonicIndex,2858.9053352415062,2096.9210872424583,2733.5760892661006,0.006852738977996439
MeshHedonicIndex,2264.0998891122954,1587.192767791441,2338.9108161354543,0.0054270022056839414
mesh_median_ppsqm_lag1,1942.7554108062498,1438.0256948205297,1573.4739149184122,0.004656745910483545
mesh_avg_area,445.4837525880597,372.4042326555418,479.8971672001399,0.0010678156558011512
Ward_encoded,434.5916864711168,337.8239055310278,302.87686425924113,0.0010417075909028835
WardHedonicIndex_missing,2.7284841053187846e-13,0.0,9.582121267933646e-13,6.540121895215637e-19
MeshHedonicIndex_missing,9.094947017729283e-14,0.0,5.679792592125889e-13,2.180040631738546e-19
