Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
mesh_median_ppsqm_ma4q,208747.57912457935,156024.81660784956,192748.35058445725,0.5964130848727345
mesh_median_ppsqm_growth_qoq,65283.329885808394,54368.59330784894,61721.885138070065,0.18652111958013504
mesh_median_ppsqm_lag1,43724.99496253841,39328.81410792526,28274.148509711067,0.12492676198217854
mesh_median_ppsqm_growth_yoy,16196.074214542597,6975.312066526743,58347.41607665369,0.04627383285416851
mesh_median_ppsqm_lag4,6825.62430394743,4735.632936169429,17281.043819464772,0.019501503511425697
mesh_median_ppsqm_std4q,6387.603566876999,3365.2273090109065,20679.716054339035,0.01825003367340426
mesh_avg_area,827.6884177091198,583.4156115545452,1595.3515350887344,0.0023647900712885613
MeshHedonicIndex,740.90264119299,195.17574046768485,3621.6996335264707,0.002116834272653069
TimeTrend,438.2491714056324,241.00674665220683,653.6626411637632,0.0012521224981726106
mesh_avg_age,343.5193465927631,208.6023544550489,399.126100800595,0.000981469744818382
mesh_transaction_count,336.0612501624058,152.03114205131698,1433.2862848318105,0.000960161204053686
WardHedonicIndex,87.6624462690312,44.71191070927915,167.23102669643842,0.0002504605333679152
Ward_encoded,65.73976515088184,26.769150069639362,169.64934317731286,0.0001878252015993315
WardHedonicIndex_missing,0.0,0.0,0.0,0.0
MeshHedonicIndex_missing,0.0,0.0,0.0,0.0
