Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,316061.4021901308,334484.6795661984,180231.96253025983,0.8631925425230086
MedianPriceSqM_lag1,18478.151888551507,15536.627105087658,8817.883089435232,0.050465519672060616
MedianPriceSqM_lag4,14356.404740494318,9740.346442120113,7758.428811603604,0.039208651937770914
MedianPriceSqM_growth_qoq,9137.371871791309,8625.438601984039,6317.196425087804,0.024954996729543863
MedianPriceSqM_growth_yoy,5197.67720984567,4826.807719040511,3920.816531768451,0.014195330954336562
MedianPriceSqM_std4q,818.009704974298,520.6419857700124,873.5250442148605,0.0022340591801225285
TimeTrend,441.95452394570873,282.61989230358466,455.44966369646374,0.0012070181507792934
AvgArea,393.8515556794306,215.0023147863318,487.3748710108705,0.0010756445531398889
AvgBuildingAge,388.5437280648521,283.87583573055315,388.6589447891336,0.0010611483913746326
TransactionCount,246.40600261426206,189.75203421557478,206.5776032472969,0.0006729572874627256
ActiveMeshes,239.29688101085745,132.8310307660973,301.1801011295688,0.0006535416273744476
Q_2,120.37832162827773,62.3979849205802,203.20489096306173,0.0003287641856643328
Ward_encoded,117.1926423785894,56.91582548355371,197.81295387172398,0.00032006380481381996
Q_4,110.13880350870917,56.79982596282183,208.57727828593002,0.00030079912691753977
Q_3,47.21990660590735,27.17815149969514,54.10912443722967,0.0001289618756305224
