Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,33394.149501031075,43083.650712407274,15711.483512330617,0.5441115540620155
MedianPriceSqM_lag1,9756.792594428598,10994.149413058087,4269.70564831584,0.15897346273338675
MedianPriceSqM_growth_qoq,7610.600977109049,6984.474088236212,5284.127060275593,0.1240042338815319
MedianPriceSqM_lag4,3177.243273268502,3845.847254609608,1442.719765030458,0.05176879186570786
MedianPriceSqM_growth_yoy,3130.0993886788187,2926.4140966956047,1817.0319383434642,0.05100064736459335
MedianPriceSqM_std4q,1447.106269400755,1215.1264834978133,1185.867178005263,0.023578598434202354
Q_2,660.1632903416262,467.694352908932,393.57841985853025,0.010756449234659654
AvgBuildingAge,621.1066724014374,598.6818094385968,332.4086706591327,0.010120075576358032
TimeTrend,345.3504103763397,290.18679654839264,215.66988133644907,0.0056270080625956094
Q_4,304.36034771100674,236.24860269897778,179.69560110801785,0.0049591315922802
AvgArea,286.1343574804424,250.47807826043737,189.77483128558956,0.004662164248693107
ActiveMeshes,252.3879296940538,201.04616974054608,201.24486087732834,0.0041123128064119805
TransactionCount,248.77079552297155,208.49263143536746,161.88395584778647,0.004053376599786397
Ward_encoded,81.93302602115538,76.70183370610056,58.627761322152416,0.0013349855224190675
Q_3,57.519941167927925,41.91999207850918,38.355219709879584,0.0009372080153582183
