Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_lag1,35192.88829131233,35168.67109109105,20212.466139982644,0.5120230414119598
MedianPriceSqM_ma4q,17781.21819238885,19955.454189907075,9707.097460578652,0.2586998072881704
MedianPriceSqM_growth_qoq,10335.81423291024,9694.381890736611,8483.919203538699,0.1503762633858654
MedianPriceSqM_lag4,1117.337933326931,1149.931101968448,626.4196347585224,0.016256203871969136
AvgBuildingAge,982.5911069696155,866.0050404834906,597.4779323159204,0.014295765749329635
TimeTrend,677.4955075187275,677.4955075187038,51.515944894319226,0.009856915051451226
Q_4,573.0752532114495,401.8969308236192,296.4895515301399,0.008337699698824962
Q_2,501.1923212374396,351.4855239846986,259.2997790801676,0.0072918714294803455
Q_3,500.66172402868153,315.4854699358907,320.7346804440054,0.007284151744913846
TransactionCount,380.825452687965,283.62118296546805,298.4051065709112,0.005540648011561857
MedianPriceSqM_std4q,289.9523165573987,240.21637859995462,267.2411656567526,0.0042185303394041635
Ward_encoded,150.08089561012466,167.0898285243236,82.5338810480877,0.0021835342411238435
AvgArea,127.86722211528635,123.35833867158681,80.18513483142473,0.0018603464263127728
ActiveMeshes,119.06010640866234,106.25623061908118,84.53581367225904,0.0017322112720496352
MedianPriceSqM_growth_yoy,2.9562123837570313,2.52166356209932,2.2211829932928695,4.30100775833347e-05
