ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM,1.4836394786834717,0.020113447564654052
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_lag1,1.4823161363601685,-0.010600958952636574
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_ma4q,1.5582962036132812,0.04421581180213252
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_growth_qoq,-0.08411586284637451,0.00017126712009485345
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TransactionCount,1.633224368095398,0.0019962742662755772
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,AvgBuildingAge,1.5232970714569092,0.009521671250695363
0,TorchLSTM,WardSendai,val,186666.671875,173627.25734710693,13039.414527893066,2020-Q1,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,ActiveMeshes,1.8306386470794678,-0.000900052214092284
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM,1.4369711875915527,0.02336533430207055
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_lag1,1.497145652770996,-0.010263317686622031
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_ma4q,1.6065187454223633,0.04611216014018282
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_growth_qoq,-0.09001445770263672,-0.00015710832678905717
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TransactionCount,1.6202974319458008,0.001881392818177119
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,AvgBuildingAge,1.6273773908615112,0.009647216618759558
1,TorchLSTM,WardSendai,val,163636.359375,179758.7126493454,-16122.353274345398,2020-Q2,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,ActiveMeshes,1.7378474473953247,-0.0015641958261767286
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM,1.3596959114074707,0.02157524790527532
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_lag1,1.4521218538284302,-0.010003565957958926
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_ma4q,1.5987534523010254,0.04501594552129973
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM_growth_qoq,-0.09246844053268433,0.00010963594104396179
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,TransactionCount,1.4802558422088623,0.0018998875020770356
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,AvgBuildingAge,1.6652491092681885,0.008617284271167591
2,TorchLSTM,WardSendai,val,171921.1875,175821.05100154877,-3899.863501548767,2020-Q3,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,ActiveMeshes,1.761045217514038,-0.000539495398697909
3,TorchLSTM,WardSendai,val,185185.1875,175712.65995502472,9472.52754497528,2020-Q4,"Aoba Ward, Sendai City",38.27341290226016,140.86901664733887,MedianPriceSqM,1.471423625946045,0.021891456839512102
