Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,206077.8091167938,173280.12449463215,139545.85505383773,0.7220483605606288
MedianPriceSqM_lag1,45229.14226201447,35206.29959142264,31002.096052825316,0.15847231761544212
MedianPriceSqM_growth_qoq,13793.421066460212,11695.869850881652,11083.722575224749,0.04832891571510991
MedianPriceSqM_lag4,6443.381327586696,4138.353080835934,6398.587468658915,0.02257609853283229
MedianPriceSqM_growth_yoy,5427.01693478741,4174.912948956511,4954.692212946118,0.01901499582750894
TimeTrend,2524.582330920695,1085.6453022297928,3577.3014282154945,0.008845544995621114
AvgBuildingAge,1370.8614618825038,890.8155342189336,1420.1483894356288,0.004803177379215185
AvgArea,1272.9742647255089,624.9924235236672,1659.152272280633,0.004460203574660489
MedianPriceSqM_std4q,1096.2076236720043,946.4054700414517,874.0102871612328,0.003840854679592626
TransactionCount,779.2984856778272,441.7377573932255,945.9151799622838,0.0027304793096482927
Ward_encoded,738.2502581917496,687.1476612692801,458.1110091703493,0.002586655937848739
ActiveMeshes,443.689035191587,300.12168389578284,439.10068822413314,0.0015545824260837658
Q_4,105.14499465544276,53.440112417206116,181.7476219478108,0.0003684034265382319
Q_2,54.25545257497319,32.29408941654522,60.02577111391478,0.00019009839415088127
Q_3,51.176830904942726,31.046175029176432,55.46390193096011,0.00017931162511854894
