Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_lag1,162541.0024583085,119017.99989035116,123586.70221121376,0.56684028869297
MedianPriceSqM_ma4q,61970.554378454886,46950.5774907968,47371.824966769076,0.2161141275313402
MedianPriceSqM_lag4,34913.90505777365,30503.722204972393,26795.0692396888,0.12175763483077828
MedianPriceSqM_growth_qoq,16523.933565485226,11246.762624134428,14954.750968376513,0.05762503695032628
MedianPriceSqM_growth_yoy,5062.917863559185,4308.8862612298235,3950.2861500801782,0.01765625768270255
TimeTrend,1668.6799147835086,1694.039791907755,118.77600545477326,0.005819300916854256
TransactionCount,1014.5289811411861,611.4026634634938,964.2284013150727,0.003538035891620397
MedianPriceSqM_std4q,892.8982110266359,854.7122522808386,661.2724995838182,0.003113864637580271
ActiveMeshes,824.9183620865155,757.4722066957929,583.6654498394096,0.0028767938885647655
Q_3,437.4147904152301,337.4561796307189,157.35977340624368,0.001525426337524535
AvgBuildingAge,392.11984490021166,360.4353627966848,255.51815822161612,0.0013674661945221502
AvgArea,279.76621201624096,308.1210936787875,145.6593708484048,0.0009756477318792279
Ward_encoded,143.3027675199108,147.95816551325697,74.98556821093602,0.0004997494840252576
Q_4,60.520659632661115,36.54734298450785,42.955248792645335,0.00021105781100904628
Q_2,22.742486189664465,16.894418312331254,12.173724062821204,7.931141830291038e-05
