Feature,MeanAbsSHAP,MedianAbsSHAP,StdAbsSHAP,ContributionShare
MedianPriceSqM_ma4q,253690.82044203967,212399.2488230028,174119.95601257452,0.914075540452261
MedianPriceSqM_growth_qoq,9046.44985050192,8134.839029379156,6621.122271586885,0.03259533995697356
MedianPriceSqM_lag1,5342.429597476126,2511.8442686353806,6473.787531459079,0.019249353260524633
MedianPriceSqM_growth_yoy,5110.080560050501,4478.676603157071,4405.053592412374,0.018412174478934014
MedianPriceSqM_lag4,1188.3857223307878,771.5583989380796,1297.7939677396528,0.0042818826456255035
MedianPriceSqM_std4q,920.4507392274703,714.1486875902547,858.1008849843032,0.003316483842233691
TimeTrend,526.9070816473853,350.44801069115573,499.9232266409903,0.001898503361634227
AvgArea,449.1641792713326,234.78427817472829,494.619951552602,0.0016183872526560018
AvgBuildingAge,443.2873786737665,336.3018346355777,438.1524976239085,0.0015972125027261844
TransactionCount,247.10357457367334,188.23364649242933,200.6559047257931,0.0008903409791593958
ActiveMeshes,196.61212871128532,109.36532272926524,222.665117707535,0.0007084148235954702
Ward_encoded,120.42846666204923,75.10553411516398,160.65352552335315,0.0004339168266243978
Q_4,99.26244910505754,50.31120440661828,204.8744933181665,0.00035765336977594835
Q_2,80.63613667906478,40.83311492063679,108.84242310083049,0.0002905407459618286
Q_3,76.11636025690873,43.802137447341,103.22722709915377,0.00027425550131400517
